Date,Open,High,Low,Close,Volume
3/2/2022,98.65,106.37,96.85,100.75,4188167.49
3/3/2022,100.75,101.71,94.1,95.6,2857170.17
3/4/2022,95.6,95.88,87.03,88.24,3364188.85
3/5/2022,88.24,91.15,86.08,89.61,1897965.55
3/6/2022,89.61,89.9,84.19,84.55,1968497.64
3/7/2022,84.55,86.58,79.99,81.88,3078668.7
3/8/2022,81.88,84.98,81.39,82.31,2587208.78
3/9/2022,82.31,89.75,82.03,88.07,3082107.44
3/10/2022,88.07,88.61,80.99,82.93,2639976.68
3/11/2022,82.93,84.28,80.09,80.67,2335757.93
3/12/2022,80.67,82.72,80.64,81.41,986033.7
3/13/2022,81.41,83.17,77.92,78.76,1397728.17
3/14/2022,78.76,82.23,78.07,81.26,2057242.39
3/15/2022,81.26,85.88,78.91,82.85,2053275.42
3/16/2022,82.85,87.99,81.55,87.84,2670711.27
3/17/2022,87.84,90.99,86.68,87.88,2666800.89
3/18/2022,87.88,91.99,84.53,89.81,2851086.63
3/19/2022,89.81,94.55,89.3,92.41,2347265.39
3/20/2022,92.41,92.53,87.97,88.6,1482330.23
3/21/2022,88.6,91.22,86.92,88.65,1914287.05
3/22/2022,88.65,93.96,88.05,90.47,2154288.29
3/23/2022,90.47,96.27,89.35,94.89,2731648.64
3/24/2022,94.89,103.71,93.53,102.39,4089391.01
3/25/2022,102.39,104.86,97.12,98.65,3046836.01
3/26/2022,98.65,103.39,97.72,101.79,1579057.63
3/27/2022,101.79,107.44,98.89,107.08,1848093.43
3/28/2022,107.08,113.84,105.22,105.93,3789805.17
3/29/2022,105.93,115.65,105.61,111.78,3752495
3/30/2022,111.78,124.56,107.16,120.64,5027797.39
3/31/2022,120.64,129.36,120.01,122.84,4696609.63
4/1/2022,122.84,138.44,117.78,134.54,4926559.2
4/2/2022,134.54,143.54,131.44,132.51,3046967.66
4/3/2022,132.51,140.98,130.68,136.91,2338332.21
4/4/2022,136.91,138.28,125.91,132.13,2843077.66
4/5/2022,132.13,136.63,126.09,126.83,2299734.15
4/6/2022,126.83,127.39,112.16,112.99,4569271.9
4/7/2022,112.99,119.96,110.96,118.6,3114696.24
4/8/2022,118.6,122.41,108.15,109.97,2925969.97
4/9/2022,109.97,113.67,108.32,112.96,1431350.79
4/10/2022,112.96,116.04,109.8,111.02,1440484.57
4/11/2022,111.02,111.94,98.2,99.65,3451969.52
4/12/2022,99.65,109.36,98.41,103.26,3272285.41
4/13/2022,103.26,106,100.12,104.97,2089342.4
4/14/2022,104.97,107.7,99.04,100.77,2192369.54
4/15/2022,100.77,102.88,99.57,101.35,1243368.3
4/16/2022,101.35,103.48,100.81,102.1,887451.98
4/17/2022,102.1,105.44,99.68,100.18,1304675.94
4/18/2022,100.18,102.66,94.85,102.37,2338578.72
4/19/2022,102.37,108.82,101.06,108.61,2099411.03
4/20/2022,108.61,110.91,104.35,105.59,2217785.11
4/21/2022,105.59,109.98,100.03,101.77,2703924.74
4/22/2022,101.77,103.55,99.23,100.54,1843644.35
4/23/2022,100.54,102.89,98.37,100.61,1182997.21
4/24/2022,100.61,102.25,98.64,99.23,1160303.89
4/25/2022,99.23,101.58,94.35,100.99,2125118.08
4/26/2022,100.99,101.98,94.68,95.71,1725073.17
4/27/2022,95.71,100.76,94.93,98.34,1833285.69
4/28/2022,98.34,100.54,96.35,98.22,1884973.97
4/29/2022,98.22,98.64,92.34,93.93,2112680.59
4/30/2022,93.93,94.93,82.03,84.65,1959304.12
5/1/2022,84.65,93.11,84.17,89.68,2200709.16
5/2/2022,89.68,90.86,85.08,87.47,2287116.25
5/3/2022,87.47,88.78,84.64,85.84,1604810.84
5/4/2022,85.84,93.03,85.46,92.75,2575033.7
5/5/2022,92.75,95.17,81.42,84.51,3625715.75
5/6/2022,84.51,84.75,79.94,81.65,3616134.95
5/7/2022,81.65,82.27,77.19,78.83,2005037.19
5/8/2022,78.83,79.34,73.71,75.31,2819493.28
5/9/2022,75.31,77.19,61.79,62.11,7246994.55
5/10/2022,62.11,74.03,60.24,66.85,8663155.94
5/11/2022,66.85,68.35,43.12,50.82,15957352.44
5/12/2022,50.82,53.97,35.95,44.58,15723015.66
5/13/2022,44.58,56.27,43.83,48.86,9887539.42
5/14/2022,48.86,53.7,45.87,52.34,5575843.92
5/15/2022,52.34,59.19,49.59,58.74,4954718.77
5/16/2022,58.74,58.75,51.87,53.69,6021129.02
5/17/2022,53.69,58.14,53.03,57.02,4589718.32
5/18/2022,57.02,57.82,49.39,49.83,5825637.82
5/19/2022,49.83,53.99,48.22,52.12,6696296.07
5/20/2022,52.12,53.57,47.76,49.37,6039991.39
5/21/2022,49.37,51.16,48.38,50.25,2759420.15
5/22/2022,50.25,53.12,49.64,52.46,3090112.37
5/23/2022,52.46,54.61,48.58,49.1,5180556.16
5/24/2022,49.1,50.78,47.06,49.63,5369431.22
5/25/2022,49.63,50.48,47.52,47.92,3530159.51
5/26/2022,47.92,48.59,41.69,43.43,7628786.37
5/27/2022,43.43,43.89,39.97,41.1,7870479.44
5/28/2022,41.1,44.99,40.25,44.22,4074352.34
5/29/2022,44.22,45.56,41.8,44.92,4412964.61
5/30/2022,44.92,48.32,44.23,47.18,5901925.14
5/31/2022,47.18,48.17,44.56,45.74,5493551.75
6/1/2022,45.74,46.1,39.59,40.09,6914733.13
6/2/2022,40.09,41.55,38.11,40.82,7651208.5
6/3/2022,40.82,41.51,37.66,38.23,6611299.02
6/4/2022,38.23,39.46,35.72,38.97,5090195.02
6/5/2022,38.97,40.17,37.83,38.49,4268920.92
6/6/2022,38.49,44.65,38.31,42.36,8284132.85
6/7/2022,42.36,42.65,37.36,39.29,8130121.86
6/8/2022,39.29,40.89,38.29,38.79,5050369.27
6/9/2022,38.79,41.9,38.41,39.93,5339044.2
6/10/2022,39.93,40.87,36.81,37.12,5668853.14
6/11/2022,37.12,37.88,33.15,33.86,5160406.77
6/12/2022,33.86,34.4,30.54,30.59,7401821.94
6/13/2022,30.59,31.05,26.02,28.54,17083003.9
6/14/2022,28.54,32.2,25.84,29.51,13870923.1
6/15/2022,29.51,34.8,26.75,34.71,13304097.12
6/16/2022,34.71,35.9,29.53,30.08,10637248.82
6/17/2022,30.08,32.08,29.23,30.67,6623005.68
6/18/2022,30.67,31.97,27.06,31.97,10519503.65
6/19/2022,31.97,35.31,28.69,34.16,9151416.16
6/20/2022,34.16,36.84,31.7,35.22,9285359.44
6/21/2022,35.22,39.11,34.2,36.37,7527384.28
6/22/2022,36.37,36.84,33.61,34.07,7898802.12
6/23/2022,34.07,38.57,33.89,38.13,7421955.3
6/24/2022,38.13,42.87,37.65,41.87,6783655.3
6/25/2022,41.87,42.56,39.73,42.2,4770586.29
6/26/2022,42.2,42.45,39.16,39.38,5251937.14
6/27/2022,39.38,41.22,37.96,38.46,5915709.95
6/28/2022,38.46,39.85,35.04,35.29,7448287.03
6/29/2022,35.29,36.05,33.09,33.96,8380803.43
6/30/2022,33.96,34.14,30.88,33.74,9061004.01
7/1/2022,33.74,35.34,31.75,32.8,8383772.89
7/2/2022,32.8,34.09,31.82,33.32,3350056.32
7/3/2022,33.32,33.63,32.11,33.36,2677536.45
7/4/2022,33.36,36.89,32.42,36.68,4387571.81
7/5/2022,36.68,36.93,33.11,35.37,6889458.52
7/6/2022,35.37,37.57,34.78,37.01,6261211.67
7/7/2022,37.01,39.23,36.37,38.46,4946490.06
7/8/2022,38.46,39.81,36.45,38.11,6270203.11
7/9/2022,38.11,38.88,37.76,38.05,3005204.91
7/10/2022,38.05,38.12,36.26,36.66,2970464.22
7/11/2022,36.66,36.71,33.23,33.4,5402759.69
